index,elementId,snow_depth_cm,date,sourceId
348,surface_snow_thickness,0,6/1/2017,SN17850
349,surface_snow_thickness,0,6/2/2017,SN17850
350,surface_snow_thickness,0,6/3/2017,SN17850
351,surface_snow_thickness,0,6/4/2017,SN17850
352,surface_snow_thickness,0,6/5/2017,SN17850
353,surface_snow_thickness,0,6/6/2017,SN17850
354,surface_snow_thickness,0,6/7/2017,SN17850
355,surface_snow_thickness,0,6/8/2017,SN17850
356,surface_snow_thickness,0,6/9/2017,SN17850
357,surface_snow_thickness,0,6/10/2017,SN17850
358,surface_snow_thickness,0,6/11/2017,SN17850
359,surface_snow_thickness,0,6/12/2017,SN17850
360,surface_snow_thickness,0,6/13/2017,SN17850
361,surface_snow_thickness,0,6/14/2017,SN17850
362,surface_snow_thickness,0,6/15/2017,SN17850
363,surface_snow_thickness,0,6/16/2017,SN17850
364,surface_snow_thickness,0,8/4/2017,SN17850
365,surface_snow_thickness,0,10/5/2017,SN17850
366,surface_snow_thickness,0,10/6/2017,SN17850
367,surface_snow_thickness,0,10/7/2017,SN17850
368,surface_snow_thickness,0,10/8/2017,SN17850
369,surface_snow_thickness,0,10/9/2017,SN17850
370,surface_snow_thickness,0,10/10/2017,SN17850
371,surface_snow_thickness,0,10/11/2017,SN17850
372,surface_snow_thickness,0,10/12/2017,SN17850
373,surface_snow_thickness,0,10/13/2017,SN17850
374,surface_snow_thickness,0,10/14/2017,SN17850
375,surface_snow_thickness,0,10/15/2017,SN17850
376,surface_snow_thickness,0,10/16/2017,SN17850
377,surface_snow_thickness,0,10/17/2017,SN17850
378,surface_snow_thickness,0,10/18/2017,SN17850
379,surface_snow_thickness,0,10/19/2017,SN17850
380,surface_snow_thickness,0,10/20/2017,SN17850
381,surface_snow_thickness,0,10/21/2017,SN17850
382,surface_snow_thickness,0,10/22/2017,SN17850
383,surface_snow_thickness,0,10/23/2017,SN17850
384,surface_snow_thickness,0,10/24/2017,SN17850
385,surface_snow_thickness,0,10/25/2017,SN17850
386,surface_snow_thickness,0,10/26/2017,SN17850
387,surface_snow_thickness,0,10/27/2017,SN17850
388,surface_snow_thickness,0,10/28/2017,SN17850
389,surface_snow_thickness,0,10/29/2017,SN17850
390,surface_snow_thickness,0,10/30/2017,SN17850
391,surface_snow_thickness,0,10/31/2017,SN17850
392,surface_snow_thickness,0,11/1/2017,SN17850
393,surface_snow_thickness,0,11/2/2017,SN17850
