mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm,month,day,ID,Station
13.6,12.7,14.6,81.1,1.3,5.1,16.0,16.0,1.1,6.0,14.0,106,Apelsvoll
14.3,10.1,19.4,56.1,0.0,26.7,14.8,14.9,5.2,6.0,15.0,107,Apelsvoll
14.5,10.0,19.8,60.3,0.0,27.6,15.3,14.8,5.0,6.0,16.0,108,Apelsvoll
11.5,8.7,16.2,88.0,14.3,10.1,15.2,15.0,1.5,6.0,17.0,109,Apelsvoll
13.3,7.9,17.8,80.9,0.1,18.1,14.8,14.6,3.1,6.0,18.0,110,Apelsvoll
14.3,10.0,19.1,50.8,0.0,24.8,14.8,14.6,4.8,6.0,19.0,111,Apelsvoll
11.4,7.0,16.7,56.5,0.0,15.5,13.7,14.0,3.0,6.0,20.0,112,Apelsvoll
9.5,6.0,14.3,75.1,4.1,13.5,13.1,13.3,2.3,6.0,21.0,113,Apelsvoll
10.5,7.3,12.9,53.7,0.0,8.6,12.3,12.8,2.0,6.0,22.0,114,Apelsvoll
14.9,8.2,21.0,43.6,0.0,25.2,12.7,12.4,4.9,6.0,23.0,115,Apelsvoll
16.2,9.2,21.8,53.9,0.0,22.6,14.3,13.5,4.6,6.0,24.0,116,Apelsvoll
20.6,13.9,27.1,54.5,0.0,27.9,16.1,14.7,5.7,6.0,25.0,117,Apelsvoll
21.5,16.0,28.5,55.0,0.0,26.1,17.5,16.1,5.3,6.0,26.0,118,Apelsvoll
21.5,15.7,27.9,45.3,0.0,26.6,17.9,16.7,5.5,6.0,27.0,119,Apelsvoll
19.7,13.1,26.1,46.2,0.0,16.9,17.6,16.9,3.9,6.0,28.0,120,Apelsvoll
14.5,9.1,19.5,45.6,0.0,29.8,16.4,16.1,5.7,6.0,29.0,121,Apelsvoll
14.7,6.8,22.0,45.4,0.0,29.7,16.2,15.8,5.3,6.0,30.0,122,Apelsvoll
17.5,7.6,24.9,45.8,0.0,29.2,16.6,16.0,5.8,7.0,1.0,123,Apelsvoll
19.7,11.5,26.9,45.2,0.0,28.4,17.2,16.3,5.6,7.0,2.0,124,Apelsvoll
