mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm,month,day,ID,Station
0.1236,0.4177,0.0066,0.9172,-0.3431,-0.1511,0.0836,0.0021,-0.2788,-0.5018,-0.4286,73,Apelsvoll
0.7728,0.6206,0.9193,0.4157,-0.3245,0.6737,0.2129,0.0847,0.4893,-0.5018,-0.3153,74,Apelsvoll
1.1592,0.7923,1.1682,-0.388,-0.3524,1.5116,0.423,0.2333,1.3854,-0.5018,-0.2019,75,Apelsvoll
1.0974,0.5582,1.3065,-0.9862,-0.3524,1.5771,0.5038,0.3323,1.5134,-0.5018,-0.0886,76,Apelsvoll
0.8655,0.3709,1.265,-1.1977,-0.3431,1.289,0.5523,0.4149,1.3854,-0.5018,0.0247,77,Apelsvoll
0.0154,-0.0037,0.2417,-0.9499,-0.3524,1.0796,0.4068,0.3654,0.8093,-0.5018,0.138,78,Apelsvoll
0.2936,0.0431,0.3247,-1.6146,-0.3524,1.7473,0.3583,0.2993,1.3854,-0.5018,0.2514,79,Apelsvoll
0.7573,0.3553,0.9469,-1.4696,-0.3338,1.6556,0.4068,0.3158,1.6414,-0.5018,0.3647,80,Apelsvoll
0.8037,0.2928,1.1267,-1.3065,-0.3524,1.2498,0.4068,0.3323,1.3854,-0.5018,0.478,81,Apelsvoll
1.0665,0.8079,1.0852,-1.3125,-0.3524,1.5116,0.4391,0.3489,1.7054,-0.5018,0.5914,82,Apelsvoll
0.8501,0.5113,1.0714,-1.5844,-0.3524,1.5247,0.5199,0.3984,1.4494,-0.5018,0.7047,83,Apelsvoll
0.9428,0.5738,1.0437,-1.095,-0.3524,1.6949,0.5846,0.4644,1.5774,-0.5018,0.818,84,Apelsvoll
1.3756,0.7767,1.5554,-1.9349,-0.3524,1.8127,0.6492,0.514,2.0255,-0.5018,0.9313,85,Apelsvoll
1.4838,1.042,1.6107,-1.8503,-0.3524,1.7473,0.73,0.58,2.0895,-0.5018,1.0447,86,Apelsvoll
1.4529,1.3385,1.6107,-1.808,-0.3524,1.6425,0.827,0.6626,1.8334,-0.5018,1.158,87,Apelsvoll
1.4374,0.9639,1.4724,-1.4394,-0.3524,1.6556,0.8917,0.7286,1.7694,-0.5018,1.2713,88,Apelsvoll
1.3911,1.5258,1.3341,-1.7959,-0.3524,1.0926,0.9078,0.7782,1.5134,-0.5018,1.3847,89,Apelsvoll
1.422,1.1668,1.4448,-0.9439,-0.3431,1.7473,0.9725,0.7947,1.8974,-0.5018,1.498,90,Apelsvoll
1.7311,1.2449,1.7075,-1.2883,-0.3524,1.7211,1.0856,0.8938,2.0255,-0.5018,1.6113,91,Apelsvoll
1.7311,1.3853,1.7352,-1.2098,-0.3524,1.6032,1.1341,0.9598,1.8974,-0.5018,1.7246,92,Apelsvoll
1.4993,1.3853,1.4448,-1.0285,-0.3524,1.1319,1.1179,0.9763,1.3854,0.0009,-1.6752,93,Apelsvoll
1.7466,1.3073,1.9702,-0.8895,-0.3338,1.4461,1.1987,1.0259,1.7054,0.0009,-1.5619,94,Apelsvoll
1.9166,1.7911,1.7905,-1.5784,-0.3524,1.433,1.2795,1.1084,1.9615,0.0009,-1.4485,95,Apelsvoll
0.9892,0.4801,0.9331,-1.5784,-0.3524,2.0091,1.1987,1.0919,2.0895,0.0009,-1.3352,96,Apelsvoll
0.0463,-0.0193,0.1587,-1.6569,-0.3524,1.852,0.924,0.9433,1.7054,0.0009,-1.2219,97,Apelsvoll
0.2472,-0.3314,0.6151,-1.2762,-0.3524,1.8389,0.7947,0.8112,1.5774,0.0009,-1.1086,98,Apelsvoll
1.2056,0.7298,1.3065,-1.3125,-0.3524,1.9306,0.924,0.8277,2.2175,0.0009,-0.9952,99,Apelsvoll
1.221,0.5582,1.2235,-1.3971,-0.3524,1.9829,1.0371,0.9268,2.0895,0.0009,-0.8819,100,Apelsvoll
1.4993,1.3697,1.7352,-1.4031,-0.278,1.6032,1.1503,1.0093,1.7694,0.0009,-0.7686,101,Apelsvoll
1.4374,1.4321,1.6937,-0.2248,0.8854,0.7653,1.2149,1.0919,1.0013,0.0009,-0.6553,102,Apelsvoll
0.5409,0.9951,0.0481,1.0018,1.6672,-0.989,1.0533,1.0589,-0.7909,0.0009,-0.5419,103,Apelsvoll
0.711,0.683,0.6427,-1.1191,-0.3524,2.0222,0.9886,0.9433,2.0255,0.0009,-0.4286,104,Apelsvoll
0.4018,0.6362,0.2002,-0.3094,-0.3524,1.2367,1.0694,1.0259,1.0013,0.0009,-0.3153,105,Apelsvoll
